employee_id,first_name,last_name,email,phone,hire_date,department_id,position_id,manager_id,salary_grade,is_active,location,employment_type,created_at
1,Employee1,LastName1,employee1@company.com,+1-555-214-1409,2021-10-16,9,16,,B,True,HQ,Contract,2025-08-03 11:46:10
2,Employee2,LastName2,employee2@company.com,+1-555-132-1488,2021-03-08,3,14,,E,True,Branch1,Contract,2025-08-03 11:46:10
3,Employee3,LastName3,employee3@company.com,+1-555-818-9928,2021-10-27,14,15,1.0,E,True,HQ,Full-time,2025-08-03 11:46:10
4,Employee4,LastName4,employee4@company.com,+1-555-532-6574,2021-12-15,9,10,1.0,C,True,HQ,Part-time,2025-08-03 11:46:10
5,Employee5,LastName5,employee5@company.com,+1-555-467-6635,2020-04-09,20,17,,D,True,Remote,Full-time,2025-08-03 11:46:10
6,Employee6,LastName6,employee6@company.com,+1-555-400-6925,2021-07-19,19,13,5.0,A,True,Branch1,Part-time,2025-08-03 11:46:10
7,Employee7,LastName7,employee7@company.com,+1-555-975-4814,2020-03-22,4,25,2.0,D,True,Branch1,Part-time,2025-08-03 11:46:10
8,Employee8,LastName8,employee8@company.com,+1-555-314-5374,2020-12-29,3,39,2.0,E,True,Branch1,Part-time,2025-08-03 11:46:10
9,Employee9,LastName9,employee9@company.com,+1-555-376-4598,2021-01-23,11,50,,B,True,Branch2,Part-time,2025-08-03 11:46:10
10,Employee10,LastName10,employee10@company.com,+1-555-167-4456,2020-10-01,19,46,5.0,B,False,Remote,Contract,2025-08-03 11:46:10
11,Employee11,LastName11,employee11@company.com,+1-555-246-5339,2021-04-14,5,16,8.0,E,True,Remote,Contract,2025-08-03 11:46:10
12,Employee12,LastName12,employee12@company.com,+1-555-470-4593,2021-02-12,5,33,7.0,A,True,HQ,Full-time,2025-08-03 11:46:10
13,Employee13,LastName13,employee13@company.com,+1-555-263-7916,2021-10-04,20,5,6.0,D,False,Branch2,Contract,2025-08-03 11:46:10
14,Employee14,LastName14,employee14@company.com,+1-555-111-2876,2022-05-31,18,49,4.0,C,True,Branch2,Part-time,2025-08-03 11:46:10
15,Employee15,LastName15,employee15@company.com,+1-555-564-1053,2020-06-10,9,33,12.0,B,True,Branch2,Contract,2025-08-03 11:46:10
16,Employee16,LastName16,employee16@company.com,+1-555-723-4258,2021-06-03,5,24,5.0,E,True,Branch2,Part-time,2025-08-03 11:46:10
17,Employee17,LastName17,employee17@company.com,+1-555-214-6947,2020-01-20,10,16,1.0,B,True,HQ,Contract,2025-08-03 11:46:10
18,Employee18,LastName18,employee18@company.com,+1-555-935-2133,2021-05-12,18,50,4.0,B,False,Branch1,Part-time,2025-08-03 11:46:10
19,Employee19,LastName19,employee19@company.com,+1-555-993-7932,2021-06-24,7,35,6.0,C,False,Branch2,Part-time,2025-08-03 11:46:10
20,Employee20,LastName20,employee20@company.com,+1-555-629-8397,2022-07-10,4,16,7.0,A,True,HQ,Contract,2025-08-03 11:46:10
21,Employee21,LastName21,employee21@company.com,+1-555-335-4608,2021-07-21,1,5,20.0,A,True,HQ,Full-time,2025-08-03 11:46:10
22,Employee22,LastName22,employee22@company.com,+1-555-438-2160,2022-05-30,17,16,8.0,D,True,Branch1,Contract,2025-08-03 11:46:10
23,Employee23,LastName23,employee23@company.com,+1-555-684-8744,2022-08-15,8,31,13.0,B,True,HQ,Contract,2025-08-03 11:46:10
